Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
BB11-1,U,62.26,0.11,19.42,0.57,0.08,0.01,0.02,0.20,3.60,0.78,14.14,0.21,0.03,0.11,0.08,0.08,0.01,0.02,0.04,0.12,0.05,0.14,2.912,0.004,1.070,0.020,0.003,0.001,0.001,0.005,0.066,0.071,0.844,4.996,0.010,0.002,0.011,0.006,0.006,0.001,0.002,0.002,0.004,0.009,0.017,0.001,0.072,0.860,0.067
BB11-1,U,61.92,0.06,18.89,0.58,0.24,0.01,0.02,0.15,3.99,1.00,13.59,0.21,0.03,0.11,0.08,0.08,0.02,0.03,0.04,0.13,0.05,0.13,2.922,0.002,1.051,0.021,0.010,0.001,0.001,0.004,0.074,0.091,0.818,4.995,0.010,0.002,0.011,0.006,0.006,0.003,0.003,0.002,0.005,0.009,0.016,0.001,0.093,0.831,0.075
BB11-1,U,64.84,0.12,18.86,0.37,0.08,0.01,0.11,0.43,1.32,4.37,9.73,0.21,0.03,0.11,0.07,0.07,0.01,0.02,0.04,0.08,0.10,0.11,2.964,0.004,1.016,0.013,0.003,0.001,0.005,0.011,0.024,0.387,0.567,4.995,0.010,0.002,0.011,0.005,0.005,0.001,0.002,0.002,0.003,0.017,0.013,0.005,0.394,0.577,0.024
BB11-1,U,65.48,0.09,18.75,0.56,0.08,0.01,0.07,0.30,0.72,4.60,9.77,0.21,0.03,0.11,0.08,0.08,0.00,0.02,0.04,0.07,0.10,0.11,2.973,0.003,1.003,0.019,0.003,0.001,0.003,0.008,0.013,0.405,0.566,4.998,0.010,0.002,0.011,0.005,0.006,0.000,0.002,0.002,0.002,0.017,0.013,0.003,0.410,0.573,0.013
BB11-1,U,64.71,0.08,19.08,0.48,0.08,0.01,0.07,0.40,0.70,4.34,9.81,0.21,0.03,0.11,0.07,0.07,0.02,0.02,0.04,0.07,0.10,0.11,2.959,0.003,1.028,0.017,0.003,0.001,0.003,0.011,0.013,0.385,0.572,4.994,0.010,0.002,0.011,0.005,0.005,0.003,0.002,0.002,0.003,0.017,0.013,0.004,0.395,0.588,0.013
BB12-1,V,64.98,0.02,19.12,0.08,0.10,0.01,0.19,0.04,1.12,2.57,12.27,0.21,0.02,0.11,0.08,0.09,0.00,0.02,0.04,0.08,0.08,0.13,2.971,0.001,1.030,0.003,0.004,0.001,0.009,0.001,0.020,0.228,0.716,4.983,0.010,0.001,0.011,0.006,0.007,0.000,0.002,0.002,0.003,0.014,0.015,0.010,0.234,0.736,0.021
BB12-1,V,64.39,0.06,20.19,0.07,0.09,0.01,0.20,0.16,1.76,2.78,11.69,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.10,0.08,0.12,2.929,0.002,1.082,0.002,0.003,0.001,0.010,0.004,0.031,0.245,0.678,4.988,0.010,0.002,0.011,0.005,0.007,0.001,0.002,0.002,0.004,0.014,0.014,0.010,0.254,0.703,0.033
BB12-1,V,66.12,0.02,19.46,0.18,0.10,0.01,0.47,0.04,0.61,4.47,9.32,0.21,0.03,0.11,0.08,0.09,0.01,0.03,0.04,0.07,0.10,0.11,2.971,0.001,1.031,0.006,0.004,0.001,0.023,0.001,0.011,0.389,0.534,4.971,0.010,0.002,0.011,0.005,0.007,0.001,0.003,0.002,0.002,0.017,0.013,0.024,0.407,0.558,0.011
BB12-1,V,65.08,0.02,19.75,0.07,0.09,0.01,0.54,0.44,0.81,4.32,9.40,0.21,0.03,0.11,0.08,0.08,0.01,0.03,0.04,0.07,0.10,0.11,2.948,0.001,1.054,0.002,0.003,0.001,0.026,0.012,0.014,0.379,0.543,4.984,0.010,0.002,0.011,0.005,0.006,0.001,0.003,0.002,0.002,0.017,0.013,0.027,0.394,0.564,0.015
BB12-1,V,63.91,0.02,20.02,0.07,0.09,0.01,0.30,0.22,1.94,2.92,11.58,0.21,0.05,0.11,0.05,0.09,0.02,0.03,0.04,0.10,0.08,0.12,2.924,0.001,1.080,0.002,0.003,0.001,0.015,0.006,0.035,0.259,0.676,5.001,0.010,0.003,0.011,0.003,0.007,0.003,0.003,0.002,0.004,0.014,0.014,0.015,0.263,0.687,0.035
BB12-1,V,63.62,0.02,19.47,0.07,0.09,0.01,0.29,0.21,2.37,2.89,11.79,0.21,0.02,0.11,0.08,0.09,0.01,0.03,0.04,0.11,0.08,0.12,2.933,0.001,1.058,0.002,0.004,0.001,0.014,0.006,0.043,0.258,0.693,5.012,0.010,0.001,0.011,0.006,0.007,0.001,0.003,0.002,0.004,0.014,0.014,0.014,0.256,0.687,0.042
BB12-1,V,64.70,0.02,19.40,0.07,0.09,0.01,0.19,0.09,1.04,2.96,11.74,0.21,0.03,0.11,0.08,0.08,0.02,0.02,0.04,0.08,0.08,0.12,2.959,0.001,1.046,0.002,0.003,0.001,0.009,0.002,0.019,0.262,0.685,4.990,0.010,0.002,0.011,0.006,0.006,0.003,0.002,0.002,0.003,0.014,0.014,0.010,0.269,0.702,0.019
BB12-1,V,63.27,0.02,19.97,0.06,0.09,0.01,0.31,0.49,2.37,2.90,11.41,0.21,0.03,0.11,0.07,0.08,0.00,0.03,0.04,0.11,0.08,0.12,2.915,0.001,1.084,0.002,0.004,0.001,0.015,0.013,0.043,0.259,0.670,5.006,0.010,0.002,0.011,0.005,0.006,0.000,0.003,0.002,0.004,0.014,0.014,0.015,0.262,0.679,0.043
BB12-1,V,66.02,0.02,19.43,0.35,0.09,0.01,0.41,0.04,0.49,4.84,9.56,0.21,0.05,0.11,0.08,0.10,0.00,0.03,0.04,0.07,0.10,0.11,2.961,0.001,1.027,0.012,0.003,0.001,0.020,0.001,0.009,0.421,0.547,5.002,0.010,0.003,0.011,0.005,0.008,0.000,0.003,0.002,0.002,0.017,0.013,0.020,0.422,0.549,0.009
