Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
BB11-1,U,65.16,0,18.25,0.79,0,0,0,0.15,0.26,1.32,14.38,100.31,0.21,0.02,0.1,0.08,0.08,0.01,0,0.04,0.06,0.06,0.14,0.31,2.994,0,0.988,0.027,0,0,0,0.004,0.005,0.118,0.843,4.979,0.009,0,0.011,0.006,0,0,0,0.002,0.002,0.01,0.016,0.02,0,0.122,0.873,0.005,0,0.009,0.009,0.002
BB11-1,U,62.19,0,19.21,0.55,0,0,0,0.11,3.89,0.84,14.01,100.8,0.21,0.03,0.11,0.08,0.09,0,0.02,0.03,0.12,0.05,0.14,0.33,2.921,0,1.064,0.019,0,0,0,0.003,0.072,0.077,0.84,4.995,0.01,0,0.011,0.005,0,0,0,0.002,0.005,0.009,0.016,0.02,0,0.077,0.85,0.073,0,0.009,0.009,0.005
BB11-1,U,64.23,0,18.9,0.91,0,0,0,0,1.76,2.49,12.17,100.46,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.09,0.07,0.13,0.32,2.957,0,1.025,0.032,0,0,0,0,0.032,0.222,0.715,4.983,0.01,0,0.011,0.006,0,0,0,0,0.003,0.013,0.015,0.03,0,0.229,0.738,0.033,0,0.011,0.011,0.003
BB11-1,U,62.26,0.11,19.42,0.57,0,0,0,0.2,3.6,0.78,14.14,101.08,0.21,0.03,0.11,0.08,0.08,0.01,0.02,0.04,0.12,0.05,0.14,0.33,2.913,0.004,1.071,0.02,0,0,0,0.005,0.066,0.071,0.844,4.995,0.01,0.002,0.011,0.006,0,0,0,0.002,0.004,0.008,0.016,0.02,0,0.072,0.861,0.067,0,0.008,0.008,0.004
BB11-1,U,61.92,0.06,18.89,0.58,0.24,0,0,0.15,3.99,1,13.59,100.42,0.21,0.03,0.11,0.08,0.08,0.02,0.03,0.04,0.13,0.05,0.13,0.33,2.923,0.002,1.051,0.021,0.01,0,0,0.004,0.074,0.092,0.818,4.994,0.01,0.002,0.011,0.006,0.007,0,0,0.002,0.005,0.009,0.016,0.03,0,0.093,0.832,0.075,0,0.008,0.009,0.005
BB11-1,U,64.84,0.12,18.86,0.37,0,0,0.11,0.43,1.32,4.37,9.73,100.15,0.21,0.03,0.11,0.07,0.07,0.01,0.02,0.04,0.08,0.1,0.11,0.31,2.965,0.004,1.016,0.013,0,0,0.005,0.011,0.024,0.387,0.568,4.994,0.01,0.002,0.011,0.005,0,0,0.002,0.002,0.003,0.017,0.013,0.03,0.005,0.394,0.577,0.024,0.002,0.012,0.012,0.003
BB11-1,U,65.48,0.09,18.75,0.56,0,0,0.07,0.3,0.72,4.6,9.77,100.34,0.21,0.03,0.11,0.08,0.08,0,0.02,0.04,0.07,0.1,0.11,0.32,2.975,0.003,1.004,0.019,0,0,0.003,0.008,0.013,0.405,0.566,4.996,0.01,0.002,0.011,0.005,0,0,0.002,0.002,0.002,0.017,0.013,0.03,0.003,0.41,0.573,0.013,0.002,0.012,0.011,0.002
BB11-1,U,64.71,0.08,19.08,0.48,0,0,0.07,0.4,0.7,4.34,9.81,99.67,0.21,0.03,0.11,0.07,0.07,0.02,0.02,0.04,0.07,0.1,0.11,0.31,2.961,0.003,1.029,0.017,0,0,0.003,0.011,0.013,0.385,0.573,4.993,0.01,0.002,0.011,0.005,0,0,0.002,0.002,0.002,0.017,0.013,0.03,0.004,0.395,0.588,0.013,0.002,0.012,0.012,0.002
BB12-1,V,64.98,0,19.12,0,0,0,0.19,0,1.12,2.57,12.27,100.25,0.21,0.02,0.11,0.08,0.09,0,0.02,0.04,0.08,0.08,0.13,0.32,2.975,0,1.032,0,0,0,0.009,0,0.02,0.228,0.717,4.981,0.009,0,0.011,0,0,0,0.002,0,0.003,0.013,0.015,0.02,0.01,0.234,0.736,0.021,0.002,0.011,0.011,0.003
BB12-1,V,64.39,0.06,20.19,0,0,0,0.2,0.16,1.76,2.78,11.69,101.23,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.1,0.08,0.12,0.32,2.932,0.002,1.083,0,0,0,0.01,0.004,0.031,0.245,0.679,4.987,0.009,0.002,0.011,0,0,0,0.002,0.002,0.003,0.014,0.014,0.02,0.01,0.254,0.703,0.033,0.002,0.011,0.011,0.003
BB12-1,V,66.12,0,19.46,0.18,0,0,0.47,0,0.61,4.47,9.32,100.63,0.21,0.03,0.11,0.08,0.09,0.01,0.03,0.04,0.07,0.1,0.11,0.32,2.974,0,1.032,0.006,0,0,0.023,0,0.011,0.39,0.535,4.969,0.01,0,0.011,0.006,0,0,0.003,0,0.002,0.017,0.013,0.03,0.024,0.407,0.558,0.011,0.003,0.012,0.012,0.002
BB12-1,V,65.08,0,19.75,0,0,0,0.54,0.44,0.81,4.32,9.4,100.34,0.21,0.03,0.11,0.08,0.08,0.01,0.03,0.04,0.07,0.1,0.11,0.32,2.951,0,1.056,0,0,0,0.026,0.012,0.014,0.38,0.544,4.983,0.009,0,0.011,0,0,0,0.003,0.002,0.003,0.017,0.013,0.03,0.027,0.394,0.564,0.015,0.003,0.012,0.012,0.003
BB12-1,V,63.91,0,20.02,0,0,0,0.3,0.22,1.94,2.92,11.58,100.89,0.21,0.05,0.11,0.05,0.09,0.02,0.03,0.04,0.1,0.08,0.12,0.32,2.928,0,1.081,0,0,0,0.015,0.006,0.035,0.259,0.677,5,0.009,0,0.011,0,0,0,0.003,0.002,0.003,0.014,0.014,0.02,0.015,0.263,0.687,0.035,0.003,0.011,0.011,0.003
